"ID","Dissolved.oxygen.Mean","Light.bottom.Mean","Nitrate.Mean","Phosphate.Mean"
1,288.280914,0,1.42902,0.189411
2,288.280914,0,1.42902,0.189411
3,288.280914,0,1.42902,0.189411
4,288.280914,0,1.42902,0.189411
5,288.280914,0,1.42902,0.189411
6,288.144196,0,1.448205,0.190862
7,288.144196,0,1.448205,0.190862
8,288.280914,0,1.42902,0.189411
9,288.144196,0,1.448205,0.190862
10,288.280914,0,1.42902,0.189411
11,288.280914,0,1.42902,0.189411
12,288.280914,0,1.42902,0.189411
13,288.220612,2e-05,1.416023,0.188554
14,288.280914,0,1.42902,0.189411
15,288.350189,0,1.399386,0.187291
16,288.350189,0,1.399386,0.187291
17,288.350189,0,1.399386,0.187291
18,288.350189,0,1.399386,0.187291
19,NA,NA,NA,NA
20,288.350189,0,1.399386,0.187291
21,288.350189,0,1.399386,0.187291
22,288.350189,0,1.399386,0.187291
23,288.350189,0,1.399386,0.187291
24,288.350189,0,1.399386,0.187291
25,288.480042,0.005337,1.368118,0.184795
26,288.570648,0.117983,1.370517,0.184845
27,288.480042,0.005337,1.368118,0.184795
28,288.601776,0,1.357458,0.183808
29,288.601776,0,1.357458,0.183808
30,288.350189,0,1.399386,0.187291
31,288.350189,0,1.399386,0.187291
32,288.350189,0,1.399386,0.187291
33,288.350189,0,1.399386,0.187291
34,288.350189,0,1.399386,0.187291
35,NA,NA,NA,NA
36,288.350189,0,1.399386,0.187291
37,NA,NA,NA,NA
38,288.350189,0,1.399386,0.187291
39,288.220612,2e-05,1.416023,0.188554
40,288.350189,0,1.399386,0.187291
41,288.480042,0.005337,1.368118,0.184795
42,288.350189,0,1.399386,0.187291
43,288.350189,0,1.399386,0.187291
44,288.350189,0,1.399386,0.187291
45,288.350189,0,1.399386,0.187291
46,288.570648,0.117983,1.370517,0.184845
47,288.480042,0.005337,1.368118,0.184795
48,288.350189,0,1.399386,0.187291
49,288.350189,0,1.399386,0.187291
50,288.350189,0,1.399386,0.187291
51,288.350189,0,1.399386,0.187291
52,288.350189,0,1.399386,0.187291
53,288.350189,0,1.399386,0.187291
54,288.350189,0,1.399386,0.187291
55,288.350189,0,1.399386,0.187291
56,288.350189,0,1.399386,0.187291
57,288.480042,0.005337,1.368118,0.184795
58,288.480042,0.005337,1.368118,0.184795
59,288.480042,0.005337,1.368118,0.184795
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,288.625793,0,1.429597,0.189129
63,288.625793,0,1.429597,0.189129
64,288.625793,0,1.429597,0.189129
65,288.625793,0,1.429597,0.189129
66,288.625793,0,1.429597,0.189129
67,288.625793,0,1.429597,0.189129
68,288.526215,0,1.425769,0.18904
69,288.625793,0,1.429597,0.189129
70,288.625793,0,1.429597,0.189129
71,288.526215,0,1.425769,0.18904
72,295.57431,0.003984,2.379934,0.241453
73,296.155945,0,2.135058,0.222999
74,296.155945,0,2.135058,0.222999
75,296.155945,0,2.135058,0.222999
76,296.155945,0,2.135058,0.222999
77,296.113159,0,2.16608,0.225188
78,296.113159,0,2.16608,0.225188
79,300.453888,0,2.919443,0.276185
80,300.453888,0,2.919443,0.276185
81,300.453888,0,2.919443,0.276185
82,300.453888,0,2.919443,0.276185
83,300.453888,0,2.919443,0.276185
84,300.453888,0,2.919443,0.276185
85,300.453888,0,2.919443,0.276185
86,300.453888,0,2.919443,0.276185
87,300.453888,0,2.919443,0.276185
88,300.453888,0,2.919443,0.276185
89,300.453888,0,2.919443,0.276185
90,300.453888,0,2.919443,0.276185
91,300.453888,0,2.919443,0.276185
92,300.453888,0,2.919443,0.276185
93,300.453888,0,2.919443,0.276185
94,300.453888,0,2.919443,0.276185
95,300.453888,0,2.919443,0.276185
96,300.453888,0,2.919443,0.276185
97,300.453888,0,2.919443,0.276185
98,300.453888,0,2.919443,0.276185
99,300.453888,0,2.919443,0.276185
100,300.453888,0,2.919443,0.276185
101,300.453888,0,2.919443,0.276185
102,300.453888,0,2.919443,0.276185
103,300.453888,0,2.919443,0.276185
104,300.453888,0,2.919443,0.276185
105,300.453888,0,2.919443,0.276185
106,300.453888,0,2.919443,0.276185
107,300.453888,0,2.919443,0.276185
108,300.453888,0,2.919443,0.276185
109,300.453888,0,2.919443,0.276185
110,300.272156,0,2.934666,0.276687
111,300.272156,0,2.934666,0.276687
112,300.272156,0,2.934666,0.276687
113,300.272156,0,2.934666,0.276687
114,300.272156,0,2.934666,0.276687
115,300.352661,0,2.930556,0.276469
116,300.352661,0,2.930556,0.276469
117,300.352661,0,2.930556,0.276469
118,300.352661,0,2.930556,0.276469
119,300.352661,0,2.930556,0.276469
120,300.352661,0,2.930556,0.276469
121,300.352661,0,2.930556,0.276469
122,300.352661,0,2.930556,0.276469
123,300.352661,0,2.930556,0.276469
124,300.352661,0,2.930556,0.276469
125,300.352661,0,2.930556,0.276469
126,300.352661,0,2.930556,0.276469
127,300.352661,0,2.930556,0.276469
128,300.352661,0,2.930556,0.276469
129,300.352661,0,2.930556,0.276469
130,300.352661,0,2.930556,0.276469
131,300.352661,0,2.930556,0.276469
132,300.352661,0,2.930556,0.276469
133,300.352661,0,2.930556,0.276469
134,300.352661,0,2.930556,0.276469
135,300.352661,0,2.930556,0.276469
136,300.352661,0,2.930556,0.276469
137,300.352661,0,2.930556,0.276469
138,300.352661,0,2.930556,0.276469
139,300.352661,0,2.930556,0.276469
140,300.352661,0,2.930556,0.276469
141,300.055664,0.002738,2.948883,0.276888
142,300.055664,0.002738,2.948883,0.276888
143,300.055664,0.002738,2.948883,0.276888
144,300.055664,0.002738,2.948883,0.276888
145,300.055664,0.002738,2.948883,0.276888
146,300.055664,0.002738,2.948883,0.276888
147,300.055664,0.002738,2.948883,0.276888
148,300.055664,0.002738,2.948883,0.276888
149,300.055664,0.002738,2.948883,0.276888
150,300.173889,0,2.929254,0.275582
151,300.173889,0,2.929254,0.275582
152,300.173889,0,2.929254,0.275582
153,300.173889,0,2.929254,0.275582
154,300.173889,0,2.929254,0.275582
155,300.173889,0,2.929254,0.275582
156,300.173889,0,2.929254,0.275582
