"ID","Layer","Meantemp","Yearnr","TS_year"
27,"bottomT_mean_1993.2018.1",8.37498083114624,"1",1993
27,"bottomT_mean_1993.2018.2",8.0131781578064,"2",1994
27,"bottomT_mean_1993.2018.3",8.43043918609619,"3",1995
27,"bottomT_mean_1993.2018.4",8.19141826629639,"4",1996
27,"bottomT_mean_1993.2018.5",8.86413154602051,"5",1997
27,"bottomT_mean_1993.2018.6",8.66732387542725,"6",1998
27,"bottomT_mean_1993.2018.7",9.00816669464111,"7",1999
27,"bottomT_mean_1993.2018.8",8.8843469619751,"8",2000
27,"bottomT_mean_1993.2018.9",8.92002944946289,"9",2001
27,"bottomT_mean_1993.2018.10",9.38409385681152,"10",2002
27,"bottomT_mean_1993.2018.11",9.12471084594727,"11",2003
27,"bottomT_mean_1993.2018.12",9.08867454528809,"12",2004
27,"bottomT_mean_1993.2018.13",9.0208137512207,"13",2005
27,"bottomT_mean_1993.2018.14",9.6766321182251,"14",2006
27,"bottomT_mean_1993.2018.15",9.16339626312256,"15",2007
27,"bottomT_mean_1993.2018.16",9.48155765533447,"16",2008
27,"bottomT_mean_1993.2018.17",9.17944889068604,"17",2009
27,"bottomT_mean_1993.2018.18",8.43600578308105,"18",2010
27,"bottomT_mean_1993.2018.19",8.74823455810547,"19",2011
27,"bottomT_mean_1993.2018.20",8.93577651977539,"20",2012
27,"bottomT_mean_1993.2018.21",9.00026874542236,"21",2013
27,"bottomT_mean_1993.2018.22",9.57203884124756,"22",2014
27,"bottomT_mean_1993.2018.23",9.48532981872559,"23",2015
27,"bottomT_mean_1993.2018.24",9.46920375823975,"24",2016
27,"bottomT_mean_1993.2018.25",9.83148307800293,"25",2017
27,"bottomT_mean_1993.2018.26",9.72056655883789,"26",2018
28,"bottomT_mean_1993.2018.1",8.49750232696533,"1",1993
28,"bottomT_mean_1993.2018.2",8.25907198588053,"2",1994
28,"bottomT_mean_1993.2018.3",8.59471416473389,"3",1995
28,"bottomT_mean_1993.2018.4",8.28574498494466,"4",1996
28,"bottomT_mean_1993.2018.5",9.06563504536947,"5",1997
28,"bottomT_mean_1993.2018.6",8.81306393941244,"6",1998
28,"bottomT_mean_1993.2018.7",9.19680372873942,"7",1999
28,"bottomT_mean_1993.2018.8",9.00067138671875,"8",2000
28,"bottomT_mean_1993.2018.9",9.02813816070557,"9",2001
28,"bottomT_mean_1993.2018.10",9.62379868825277,"10",2002
28,"bottomT_mean_1993.2018.11",9.33938630421956,"11",2003
28,"bottomT_mean_1993.2018.12",9.26416810353597,"12",2004
28,"bottomT_mean_1993.2018.13",9.06533018747965,"13",2005
28,"bottomT_mean_1993.2018.14",9.88302262624105,"14",2006
28,"bottomT_mean_1993.2018.15",9.30146185557047,"15",2007
28,"bottomT_mean_1993.2018.16",9.65751107533773,"16",2008
28,"bottomT_mean_1993.2018.17",9.28406651814779,"17",2009
28,"bottomT_mean_1993.2018.18",8.48494942982992,"18",2010
28,"bottomT_mean_1993.2018.19",8.91621653238932,"19",2011
28,"bottomT_mean_1993.2018.20",9.03297996520996,"20",2012
28,"bottomT_mean_1993.2018.21",9.16331481933594,"21",2013
28,"bottomT_mean_1993.2018.22",9.81586138407389,"22",2014
28,"bottomT_mean_1993.2018.23",9.63852882385254,"23",2015
28,"bottomT_mean_1993.2018.24",9.62377802530924,"24",2016
28,"bottomT_mean_1993.2018.25",9.9742120107015,"25",2017
28,"bottomT_mean_1993.2018.26",9.93730481465658,"26",2018
29,"bottomT_mean_1993.2018.1",8.49750232696533,"1",1993
29,"bottomT_mean_1993.2018.2",8.25907198588053,"2",1994
29,"bottomT_mean_1993.2018.3",8.59471416473389,"3",1995
29,"bottomT_mean_1993.2018.4",8.28574498494466,"4",1996
29,"bottomT_mean_1993.2018.5",9.06563504536947,"5",1997
29,"bottomT_mean_1993.2018.6",8.81306393941244,"6",1998
29,"bottomT_mean_1993.2018.7",9.19680372873942,"7",1999
29,"bottomT_mean_1993.2018.8",9.00067138671875,"8",2000
29,"bottomT_mean_1993.2018.9",9.02813816070557,"9",2001
