"name";"Min_tangle";"Mean_tangle";"Max_tangle";"Min_sugar";"Mean_sugar";"Max_sugar"
"Current";0,03;0,15;1,19;0,03;0,15;1,18
"Curvature";-88,72;9,27;124,42;-61,75;10,56;177,58
"Depth";-35,64;-10,04;0,23;-38;-10,59;3
"Max temp.";6,27;11,8;19,12;6,27;12,28;20,91
"Mean temp.";5,48;8,29;10,85;4,57;8,12;10,51
"Nitrate";0,43;1,43;8,3;0,43;1,72;3,07
"Oxygen";268,22;292,3;307,38;286,67;292,37;305,47
"Phosphate";0,1;0,18;0,68;0,1;0,2;0,29
"Salinity";33,64;35,07;35,34;31,02;35,04;35,33
"Slope";0;6,36;63,22;0;10,63;74,4
"kSWM";0;605,87;1952,65;0;195,22;1388,7
