"Threshold","Area at value","Area ≥ value","Area at value.y","Area ≥ value.y"
1,3280.444,9204.616,2198.124,2947.738
2,1709.027,5924.172,551.446,749.613
3,1134.1,4215.145,144.379,198.167
4,855.277,3081.045,38.515,53.788
5,674.884,2225.768,10.203,15.273
6,527.226,1550.884,3.111,5.071
7,380.878,1023.658,1.055,1.96
8,254.999,642.78,0.436,0.905
9,165.524,387.781,0.213,0.469
10,100.731,222.256,0.107,0.256
11,57.369,121.525,0.052,0.149
12,30.274,64.156,0.036,0.097
13,15.674,33.882,0.021,0.061
14,8.06,18.208,0.016,0.04
15,4.392,10.148,0.007,0.024
16,2.304,5.756,0.01,0.018
17,1.319,3.451,0.002,0.007
18,0.795,2.132,0.001,0.005
19,0.552,1.337,0.002,0.004
20,0.327,0.785,0.001,0.002
21,0.182,0.458,0.001,0.001
22,0.092,0.276,NA,NA
23,0.061,0.184,NA,NA
24,0.046,0.122,NA,NA
25,0.028,0.076,NA,NA
26,0.013,0.049,NA,NA
27,0.011,0.036,NA,NA
28,0.005,0.024,NA,NA
29,0.007,0.019,NA,NA
30,0.004,0.013,NA,NA
31,0.004,0.009,NA,NA
32,0.002,0.005,NA,NA
33,0.001,0.003,NA,NA
34,0.001,0.002,NA,NA
35,0.001,0.001,NA,NA
