"Threshold","area_km","Biomass_Gg","C_Gg","area_km_cum","Biomass_Gg_cum","C_Gg_cum"
1,"3 280","3 468",161,"9 205","35 592","1 655"
2,"1 709","3 456",161,"5 924","32 124","1 494"
3,"1 134","3 372",157,"4 215","28 668","1 333"
4,"855","3 637",169,"3 081","25 296","1 176"
5,"675","3 756",175,"2 226","21 659","1 007"
6,"527","3 872",180,"1 551","17 904","833"
7,"381","3 645",169,"1 024","14 031","652"
8,"255","3 116",145,"643","10 387","483"
9,"166","2 486",116,"388","7 270","338"
10,"101","1 796",84,"222","4 784","222"
11,"57","1 188",55,"122","2 988","139"
12,"30","728",34,"64","1 800","84"
13,"16","436",20,"34","1 072","50"
14,"8","251",12,"18","636","30"
15,"4","152",7,"10","385","18"
16,"2","83",4,"6","233","11"
17,"1","50",2,"3","149","7"
18,"0.795","33",2,"2","99","5"
19,"0.552","26",1,"1","66","3"
20,"0.327","16",0.733,"0.785","40","2"
21,"0.182","9",0.417,"0.458","25","1"
22,"0.092","5",0.21,"0.276","16","0.729"
23,"0.061","3",0.159,"0.184","11","0.519"
24,"0.046","3",0.127,"0.122","8","0.360"
25,"0.028","2",0.076,"0.076","5","0.233"
26,"0.013","0.867",0.04,"0.049","3","0.157"
27,"0.011","0.759",0.035,"0.036","3","0.116"
28,"0.005","0.315",0.015,"0.024","2","0.081"
29,"0.007","0.539",0.025,"0.019","1","0.066"
30,"0.004","0.223",0.01,"0.012","0.888","0.041"
31,"0.004","0.278",0.013,"0.009","0.665","0.031"
32,"0.002","0.131",0.006,"0.005","0.387","0.018"
33,"0.001","0.036",0.002,"0.003","0.256","0.012"
34,"0.001","0.132",0.006,"0.002","0.220","0.010"
35,"0.001","0.088",0.004,"0.001","0.088","0.004"
