"value","count_eq","count_ge","area_km","area_km_cum"
1,5248710,14727385,3280.44375,9204.61562499999
2,2734443,9478675,1709.026875,5924.171875
3,1814560,6744232,1134.1,4215.145
4,1368443,4929672,855.276874999999,3081.045
5,1079815,3561229,674.884375,2225.768125
6,843561,2481414,527.225625,1550.88375
7,609405,1637853,380.878125,1023.658125
8,407999,1028448,254.999375,642.78
9,264839,620449,165.524375,387.780625
10,161170,355610,100.73125,222.25625
11,91791,194440,57.369375,121.525
12,48438,102649,30.27375,64.155625
13,25078,54211,15.67375,33.881875
14,12896,29133,8.06,18.208125
15,7028,16237,4.3925,10.148125
16,3687,9209,2.304375,5.755625
17,2111,5522,1.319375,3.45125
18,1272,3411,0.794999999999999,2.131875
19,883,2139,0.551875,1.336875
20,523,1256,0.326875,0.784999999999999
21,292,733,0.1825,0.458125
22,147,441,0.0918749999999999,0.275625
23,98,294,0.06125,0.18375
24,74,196,0.04625,0.1225
25,44,122,0.0275,0.0762499999999999
26,21,78,0.013125,0.04875
27,18,57,0.01125,0.035625
28,8,39,0.005,0.024375
29,11,31,0.00687499999999999,0.019375
30,6,20,0.00375,0.0125
31,6,14,0.00375,0.00874999999999999
32,3,8,0.001875,0.005
33,1,5,0.000625,0.003125
34,2,4,0.00125,0.0025
35,2,2,0.00125,0.00125
