"Threshold","area_km","Biomass_Gg","C_Gg","area_km_cum","Biomass_Gg_cum","C_Gg_cum"
1,"2 198","570","26","2 948","956","44"
2,"551","246","11","750","386","18"
3,"144","91","4","198","140","7"
4,"39","32","1","54","49","2"
5,"10","10","0.479","15","17","0.796"
6,"3","4","0.173","5","7","0.317"
7,"1","1","0.068","2","3","0.144"
8,"0.436","0.687","0.032","0.905","2","0.076"
9,"0.213","0.375","0.017","0.469","0.951","0.044"
10,"0.107","0.209","0.010","0.256","0.576","0.027"
11,"0.052","0.111","0.005","0.149","0.367","0.017"
12,"0.036","0.083","0.004","0.097","0.256","0.012"
13,"0.021","0.053","0.002","0.061","0.173","0.008"
14,"0.016","0.042","0.002","0.040","0.119","0.006"
15,"0.007","0.020","0.001","0.024","0.077","0.004"
16,"0.010","0.030","0.001","0.018","0.057","0.003"
17,"0.002","0.008","0.000","0.007","0.027","0.001"
18,"0.001","0.002","0.000","0.005","0.019","0.001"
19,"0.002","0.009","0.000","0.004","0.016","0.001"
20,"0.001","0.002","0.000","0.002","0.007","0.000"
21,"0.001","0.005","0.000","0.001","0.005","0.000"
