"value","count_eq","count_ge","area_km","area_km_cum"
1,3516999,4716380,2198.124375,2947.7375
2,882313,1199381,551.445625,749.613124999999
3,231007,317068,144.379375,198.1675
4,61624,86061,38.515,53.788125
5,16324,24437,10.2025,15.273125
6,4977,8113,3.110625,5.070625
7,1688,3136,1.055,1.96
8,698,1448,0.43625,0.904999999999999
9,341,750,0.213125,0.46875
10,171,409,0.106875,0.255625
11,83,238,0.051875,0.14875
12,57,155,0.035625,0.0968749999999999
13,34,98,0.02125,0.06125
14,25,64,0.015625,0.04
15,11,39,0.00687499999999999,0.024375
16,16,28,0.00999999999999999,0.0175
17,4,12,0.0025,0.00749999999999999
18,1,8,0.000625,0.005
19,4,7,0.0025,0.004375
20,1,3,0.000625,0.001875
21,2,2,0.00125,0.00125
